Job_title,Company,State,City,Min_Salary,Max_Salary,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Forward Deployed Engineer,Addepar,NY,New York,-1,-1,"Addepar has the potential to make a huge swath of private investing more transparent, more efficient, and more ethical. We're building a single platform that unifies hundreds of portfolio and market data systems and leveraging that platform to create robust, powerful financial applications. The problems we're tackling are complex and globally important.

The technical effort involved to build a fast, scalable and reliable platform is massive. Addepar engineering builds portfolio data ingestion systems that process tens of millions of transactions across millions of accounts every day, and pricing and reference data systems that provide coverage for over a trillion dollars in assets. We build and run our own distributing serving and financial calculation framework that allows clients to run complex analysis of massive data sets in real time. We design robust APIs and powerful, versatile user interfaces to empower wealth managers to ask nuanced questions about their clients' holdings.
-
As a forward deployed engineer, you will bridge the gap between Addepar's platform and client's business requirements. You will create custom data pipelines and tight integrations between client systems and Addepar. You will show the customer value quickly and turn learnings into scalable and repeatable long term solutions. Our forward deployed engineering team sits within core data engineering and embeds directly with our customers to create the solutions they require to fully utilize the power of the Addepar platform.
Required Skills:

4+ years experience delivering broad technical solutions to enterprise scale customers.
Production level proficiency in one common interpreted (ex: Python, Ruby) programming language.
Experience building systems with relational databases. Other additional non-relational datastore experience is also a plus.
Able and willing to mentor and guide other Engineers in architectural issues and best practices.
Excellent one-to-one and group presentation skills. Someone in this role will interact directly with Addepar's client base.
Ability to manage complex projects, relationships and timelines. Excels working in a cross disciplinary team/environment.
BS+ in Computer Science or other highly technical field paired with software industry experience.
(Plus) A working knowledge of the financial services industry. Exposure to the system architecture in large institutions is very applicable.
(Plus) Experience in one or more strongly typed server side programming language (ex: Java, C++).
(Plus) Ability to travel frequently to client sites.



Addepar is a wealth management platform that specializes in data aggregation, analytics, and reporting for even the most complex investment portfolios. The company's platform aggregates portfolio, market, and client data all in one place. It provides asset owners and advisors a clearer financial picture at every level, allowing them to make more informed and timely investment decisions. Addepar works with hundreds of leading financial advisors, family offices, and large financial institutions that manage data for over $1.7 trillion of assets on the company's platform. In 2020, Addepar was named as a Forbes Fintech 50 and in 2018 received Morgan Stanley's Fintech Award for making a significant impact on the firm's mission of continuous innovation. Addepar is headquartered in Silicon Valley and has offices in New York City and Salt Lake City.
Addepar is an equal opportunity employer. We're committed to building together and to do that best, we rely on a range of backgrounds, experiences, and ideas.

",Information Technology,4.3,4/29/2020,6/7/2020,FULL_TIME
Senior Estimator/Project Manager,Ultra General Contracting Inc,NY,Staten Island,-1,-1,Prepare Estimates & Project Management,,,4/25/2020,6/7/2020,FULL_TIME
Interested in KWT Global?,KWT Global,NY,New York,-1,-1,Are you interested in KWT Global but don't see a job that fits your skill set? We would love to keep in touch! Please submit your information below and we will be sure to reach out as opportunities arise.,Business Services,3.7,5/2/2020,6/7/2020,FULL_TIME
Pest Control Technician,Arrow Exterminating Co Inc,NY,Lynbrook,-1,-1,Position for a pest control professional to join our team. NYS certification a plus. Established company on Long Island for 70 years. Competitive compensation packageJob Type: Full-timeWork Location:Multiple locationsBenefits:Health insuranceDental insuranceVision insuranceWork Remotely:No,Business Services,4.2,5/6/2020,6/7/2020,FULL_TIME
Doctor of Veterinary Medicine,Banfield Pet Hospital,NY,Staten Island,81991,120117,This company is in a hiring surge in response to COVID-19,Health Care,3.2,5/2/2020,6/7/2020,FULL_TIME
Hair Stylist,JK Salon and Spa,NJ,Fort Lee,-1,-1,"Perform haircuts and styleMust have NJ licenseConfident with applying color and highlightsBe on time for your appointmentsKeep the station clean and organizedHave your own tools to workBe kind and friendly with clientswith at least one year experienceJob Types: Full-time, Part-time, Contract, CommissionSalary: $12.00 /hourExperience:hair cutting: 1 year (Preferred)salon: 1 year (Preferred)cosmetology: 1 year (Preferred)stylist: 1 year (Preferred)hair stylist: 1 year (Preferred)Working Days:Monday (Preferred)Tuesday (Required)Wednesday (Required)Friday (Required)Thursday (Required)Saturday (Required)Sunday (Preferred)Contract Length:More than 1 yearContract Renewal:LikelyFull Time Opportunity:YesAdditional Compensation:TipsCommissionBonusesStore DiscountsWork Location:One locationBenefits:Flexible scheduleProfessional development assistanceOtherBooth or Chair Rental Required:NoPay Frequency:Bi weekly or Twice monthlyThis Job Is:A good fit for applicants with gaps in their resume, or who have been out of the workforce for the past 6 months or moreA good job for someone just entering the workforce or returning to the workforce with limited experience and educationA job for which all ages, including older job seekers, are encouraged to applySchedule:Monday to FridayWeekends requiredDay shiftNight shiftOvertime8 hour shiftCompany's website:www.jksalonandspa.comCompany's Facebook page:JK Salon & SpaBenefit Conditions:Only full-time employees eligibleWork Remotely:No",,,5/7/2020,6/7/2020,PART_TIME
RN / LPN,Star Pediatric Home Care Agency,NJ,Jersey City,48000,75000,"Owned and Operated by Nurses.
At Star Pediatric Home Care Agency, we help children shine, one at a time.
Are you a RN Registered Nurse or LPN Licensed Practical Nurse with passion, dedication and love for pediatric nursing? Come shine with us!
Train with our Nurse Educators in the class room setting prior to hands on training in the field. New Nurses and Experienced Nurses welcome to apply.
**Complete Training is Provided in our Simulated Lab prior to Specific Case Training. **
Medical, Dental & Visions Benefits
Paid Time Off
Weekly Pay
Direct Deposit
Flexible Scheduling
*We are looking for a compassionate and dedicated nurse to provide skilled nursing for our Pediatric Patients with Complex Medical Conditions*
Jersey City, NJ:

18-month-old baby boy with gjtube and O2 needs nursing 7p-7a Wed, Thu, Sat

**Choose your shifts and schedule based on the openings in the case**

Provide patient care in accordance with acceptable standards of nursing practice and the written plan of care as well as physicians plan of treatment
Demonstrate sound clinical judgement
Provide respectful and compassionate care to all patients/families/caregivers
Maintain patient confidentiality
Provide patient/caregiver education
Additional requirements on per case basis
Additional requirements based on agency orientation provided upon hire

Come work with us at STAR PEDIATRIC HOME CARE and make a difference in the life of a child.
 ",Health Care,4.5,4/29/2020,6/7/2020,FULL_TIME
Ultrasound Technologist,Middle Village Radiology,NY,Rego Park,55069,74745,"Medical Imaging Office in Queens is seeking a Full Time Diagnostic Ultrasound Technologist, experienced and familiar with general ultrasound, breast, and vascular studies. Prefer ARMDS Flexible hours; salary commensurate with experience.Please email current resume.",,3,5/7/2020,6/7/2020,FULL_TIME
NYS Licensed Psychologist,The Senior Citizen Care Group,NY,Bronx,-1,-1,"Licensed NYS Psychologist needed for Bronx nursing home. 
Flexible hours. Per-Diem. 
 
Please email CV to sreichphdjd@aol.com.",,,4/29/2020,6/7/2020,FULL_TIME
Lead Pharmacy Technician: Billing,Medly Pharmacy,NY,Brooklyn,-1,-1,This company is in a hiring surge in response to COVID-19,Health Care,4,5/5/2020,6/7/2020,FULL_TIME
Experienced A level mechanic,Motorwerks inc,NY,Mamaroneck,21402,52210,Responsibilities:Diagnose vehicles based on observational and mechanical testing as well as information provided by the customerRepair vehicles based on the diagnosed issues and repair estimateTest drive vehicles after repairs are complete to ensure mechanical soundness and to determine whether any other problems existDescribe vehicle's condition to customer and answer any follow-up questionsHard Requirements:5+ Years Auto Mechanic experience required in either a dealership or repair shopHas Own ToolsValid driver's license with clean driving record (5 years)Great work ethicJob Type: Full-timeExperience:in shop auto mechanic: 5 years (Required)mechanical: 5 years (Required)mechanic: 5 years (Required)maintenance mechanic: 5 years (Required)Work Location:One locationBenefits:NoneTypical start time:9AMTypical end time:6PMPay Frequency:WeeklySchedule:Monday to FridayWork Remotely:No,Retail,3.9,5/5/2020,6/7/2020,FULL_TIME
Chief Marketing Officer (CMO),National Debt Relief,NY,New York,-1,-1,"Who We're Looking For:

The Chief Marketing Officer (CMO) is an exempt, executive position, responsible for all marketing operations of the company including lead acquisition, sales enablement, communications, retention, and brand development. This executive leads a team of enthusiastic, analytical, and passionate marketing professionals to develop, execute, and optimize the marketing strategy. We are looking for someone with a history of brand development and proven ability to accelerate company growth leveraging the latest marketing strategies and technologies. This role goes beyond traditional marketing tactics to generate awareness, educate the consumer on the viability of our service, and in turn drive the consumer to take action and engage the brand.

Principal Duties and Responsibilities:

Lead the full marketing strategy and have accountability over development, execution, and optimization across all channels including paid and organic search, display, email, social, TV, radio, direct mail, and affiliate marketing.
Communicate with the leadership team and key stakeholders to execute lead generation, sales enablement, and retention-based marketing campaigns that align with and deliver against business goals.
Develop and execute social media, content, and communication strategies to further our public relations and community engagement.
Identify, forge, and grow strategic marketing partnerships.
Build a highly efficient and capable team of marketing professionals.
Define the competitive marketplace and evolve our brand awareness through strategy development and brand building tactics.
Lead research and development into new marketing tactics and strategies while improving current systems.
Establish key metrics and manage goals while leading the improvement of our pipeline for sales.
Establish framework for all marketing activity, tracking results and reporting progress with management.
Develop segmentation, competitive analysis, market intelligence, salesforce effectiveness, strategic planning and revenue retention and growth.

Qualifications:

A completed BS degree in Business, Marketing, Advertising or other related discipline.
Minimum experience required 10+ years of professional experience in a leadership marketing role.
Experience building and executing brand awareness and public relations campaigns.
Experience in a fast-growing company with a track record of delivering big results.
Highly proficient and effective communication skills
Ability to utilize data analytics to deliver insight and identify opportunities for growth.
A strong record of developing successful, innovative and cost-effective marketing campaigns.
Punctual and ready to report to work on a consistent basis.
Travel up to 25 percent of the time.
Excel in a fast-paced environment.

What We Offer:

A team-first, work hard play hard culture, full of rewards and recognition for our employees. We are dedicated to our employees' success and growth.

Our extensive benefits package includes:


Generous Medical, Dental, and Vision Benefits
401(k) with Company Match
Paid Holidays, Volunteer Time Off, Sick Days, and Vacation
10 weeks Paid Parental Leave
Pre-tax Transit Benefits
Discounted Gym Membership
Citi Bike Annual Membership Discounts
No-Cost Life Insurance Benefits
Voluntary Benefits Options
ASPCA Pet Health Insurance Discount

About National Debt Relief:

National Debt Relief is one of the country's largest and most reputable debt settlement companies. We are made up of energetic, smart, and compassionate individuals who are passionate about helping thousands of Americans with debt relief. Most importantly, we're all about helping our customers through a tough financial time in their lives with education and individual customer service.

We are dedicated to helping individuals and families rid their lives of burdensome debt. We specialize in debt settlement and have negotiated settlements for thousands of creditor and collections accounts. We provide our clients with both our expertise and our proven results. This means helping consumers in their time of hardship to get out of debt with the least possible cost. It can also mean conducting financial consultations, educating the consumer, and recommending the appropriate solution. Our core services offer debt settlement as an alternative to bankruptcy, credit counseling, and debt consolidation. We become our clients' number one advocate to help them reestablish financial stability as quickly as possible.

National Debt Relief is a certified Great Place to Work®!

National Debt Relief is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability status, or any other status protected by law

#ZR",Finance,4,5/8/2020,6/7/2020,FULL_TIME
Registered Nurse,Queens Boulevard Endoscopy Center,NY,Rego Park,-1,-1,"Queens Boulevard Endoscopy Center, an endoscopy ASC located in Rego Park, has an exciting opportunity for Full-Time Registered Nurse! Successful candidates will provide quality nursing care in all areas of the Center including pre-assessment, pre-op and pacu  Qualified candidates must possess the following:

Current NY state RN license
BLS Certification, ACLS preferred
Must be a team-player with excellent multi-tasking and interpersonal skills
Compassion for patient needs and a high degree of professionalism
Chinese Speaking and Spanish Preferred

Queens Boulevard Endoscopy Center offers a pleasant professional work environment and no evening or holiday work hours. Drug-free work environment and EOE.",,3,4/25/2020,6/7/2020,FULL_TIME
Dental Hygienist,Batista Dental,NJ,West New York,-1,-1,"Part-time or Full-timedental hygienist position available in West New York, NJfor Mondays, Tuesdays, Wednesdays, and Saturday.Applicants may apply for any or all days. Beautiful upscale office with friendly staff. Applicants must be reliable, self-motivated and speak spanish out-going and responsible. Respond with resume via e-mail.",,,5/2/2020,6/7/2020,PART_TIME
Senior Salesforce Developer,National Debt Relief,NY,New York,44587,82162,"Principle Duties & Responsibilities:

Analyze complex systems and troubleshoot and isolate system issues;
Understand requirements for business users and translate into design specifications, utilizing thorough understanding of the Salesforce platform, Salesforce products and licensing models;
Utilize thorough understanding of application development, project lifecycle, and methodologies and ability to work under tight deadlines and handle multiple detail-oriented tasks;
Apply knowledge of Salesforce developmentand customizations, with APEX, Visual Force, API, Force.com and Workflows, taking into account com best practices, support mechanisms, procedures, and limitations, as well as NDR's unique needs;
Responsible for Salesforce administration, release management and deployment as well as management of Salesforce.com sandboxes, including their integrations;
Design and execute Salesforce.com configuration changes, leveraging the Salesforce interface to sync with internal tracking systems;
Design, develop, and maintain integration and synchronization programs;
Design the data model, user interface, business logic, and security for custom applications; and
Design, develop, and customize software solutions for end users by using analysis and mathematical models to effectively predict and measure the results of the design using Chatter, Communities and other Salesforce applications.

Requirements:

Bachelor of Science degree or foreign equivalent in Information Systems, Computer Science, Computer Engineering, Software Engineering or a related field
3 years of experience with the Salesforce platform, specifically: development with Apex, VisualForce, and Force.com;
Design and execute Salesforce.com configuration changes, leveraging the Salesforce interface to sync with internal tracking systems;
Salesforce administration, release management, and deployment
Salesforce products and licensing models
Management of Salesforce.com sandboxes, including their integrations; Chatter, Communities, and other Salesforce apps
com best practices, support mechanisms, procedures, and limitations.

What We Offer:

We believe in a team-first culture, full of rewards and recognition for our employees. We are dedicated to our employees' success and growth within the company, through our employee mentorship and leadership programs.

Our extensive benefits package includes:


Medical, Dental, and Vision Benefits
401(k) Match
Paid Holidays, Volunteer Time Off, Sick Days, and Vacation
10 Weeks Paid Parental Leave
Pre-tax Transit Benefits
Discounted Gym Membership
No-cost Life Insurance Benefits

About National Debt Relief:

National Debt Relief is one of the country's largest and most reputable debt settlement companies. We are made up of energetic, smart, and compassionate individuals who are passionate about helping thousands of Americans with debt relief. Most importantly, we're all about helping our customers through a tough financial time in their lives with education and individual customer service.

We are dedicated to helping individuals and families rid their lives of burdensome debt. We specialize in debt settlement and have negotiated settlements for thousands of creditor and collections accounts. We provide our clients with both our expertise and our proven results. This means helping consumers in their time of hardship to get out of debt with the least possible cost. It can also mean conducting financial consultations, educating the consumer, and recommending the appropriate solution. Our core services offer debt settlement as an alternative to bankruptcy, credit counseling, and debt consolidation. We become our clients' number one advocate to help them reestablish financial stability as quickly as possible.

#ZR",Finance,4,5/8/2020,6/7/2020,FULL_TIME
"DEPUTY EXECUTIVE DIRECTOR, PROGRAM AND LEGAL ADVOCACY",National Advocates for Pregnant Women,NY,New York,125410,212901,"For FULL Job Announcement, visit our website: www.AdvocatesForPregnantWomen.org

Reporting to and working collaboratively with the Executive Director (ED), the Deputy Executive Director, Program & Legal Advocacy (DED) is a member of the Senior Management Team (SMT) providing leadership for and supervision of NAPW’s legal team and taking responsibility for the day-to-day program operations of the organization. The DED as an experienced senior level attorney with executive management experience and serves as a strategic thought partner and advisor to the Executive Director and the SMT.

In absence of the Executive Director, the DED (in consultation with the COO), is designated as the highest authority to respond to internal and external inquiries, make programmatic/advocacy decisions, and represent NAPW in any and all responsibilities assigned to the ED.

Responsibilities include (but are not limited to):

Partnering with the ED to create and implement NAPW’s mission-work and strategic planning;Working collaboratively with the SMT (collectively responsible for the critical business functions of Program, Finance/Operations, Human Resources, Communications, and Development/Grant Administration), to develop and implement administrative policies and procedures for guiding operations, strengthening internal systems, ensuring high levels of staff engagement, managing performance, encouraging continuous learning, and promoting administrative and programmatic alignment;Helping to create NAPW’s reproductive justice public policy/public advocacy initiatives and determining when NAPW supports and/or joins related allied efforts by other organizations;Directly supervising the day-to-day work of the Senior Staff Attorneys, Staff Attorneys, post-graduate Fellows, legal & programmatic interns, legal contractors, loaned associates, and Research and Program Associates. Supervision includes coaching and training, performance review, assigning and reviewing work, mentoring, analysis and editing of written work and providing the ED with sufficient time to review;

Minimum qualifications include:

JD degree from an accredited law school is required; Membership in at least 1 (one) state AND federal bar is required;Master’s Degree in Non-profit Management, Public Policy, Social Work, or a related field is highly-desirable;8-10 years: of senior-level management experience in a non-profit legal advocacy/public interest/social justice environment, with demonstrable success in change implementation; complex litigation and advocacy experience as an attorney providing direct client representation, with a particular emphasis in public interest law and reproductive justice and drug policy litigation in state and federal courts; experience in the supervision of attorneys and managing programs (and staff);Demonstrated capacity to serve as a member of a Senior Management Team and advisor to the Executive Director on all matters pertaining to NAPW's legal advocacy;Knowledge of and experience in reproductive health, rights, and justice; civil rights with knowledge of drug policy reform, women’s rights, family law, child welfare reform, and human rights is highly-desirable.

NOTE: YOUR SUBMISSION WILL BE REJECTED IF YOU HAVE NOT PROVIDED ALL MATERIALS AND INFORMATION AS INSTRUCTED BELOW.

REQUIRED SUBMISSIONS (MUST INCLUDE ALL ITEMS LISTED BELOW):

1. Cover Letter which must include all of the following elements:

a) Your personal & professional motivation for seeking this position.

b) A discussion of what makes you the ideal/best candidate for this position.

c) Explain how your skill sets and experience best demonstrate your strategic approach.

d) Salary Requirement.

e) Indicate where you found this Job Announcement.

2. Resumé.

3. Two (2) Writing Samples solely reflecting applicant’s own work (MUST submit BOTH A and B):

a) One Non- legal advocacy writing sample such as an article, commentary or blog.

b) One Legal writing sample (i.e., a legal brief, argument or analysis) consisting of NO MORE THAN ten pages of text.

4. Complete contact information for three (3) professional references.

INSTRUCTIONS: NO PHONE CALLS OR FAXES PLEASE.

All submissions must be sent VIA EMAIL ONLY

SUBJECT: ATTN: Human Resources – NAPW Deputy Executive Director, Program & Legal Advocacy (JAN. 2020)

Job Type: Full-time

Experience:

Reproductive Justice/Reproductive Rights legal advocacy: 5 years (Preferred)Non-profit Executive/Senior Management: 8 years (Required)Supervising Attorney: 5 years (Required)Public Interest Law and litigation: 6 years (Required)

Education:

Doctorate (Required)

Work Location:

One location

Benefits:

Health insuranceDental insuranceVision insuranceRetirement planPaid time offParental leaveProfessional development assistanceTuition reimbursement

Schedule:

Monday to Friday
",,,4/28/2020,6/7/2020,FULL_TIME
Emergency Veterinarian - NYC,Veterinary Emergency Group,NY,New York,94715,103279,"Emergency VeterinarianThe family you will be joining:

VEG is a rapidly growing group of emergency practices with multiple locations and a single mission: Helping People and Their Pets When They Need it Most. We are changing the face of emergency veterinary medicine with a “client first” mentality. We’re a group of passionate, thought leaders that believe in the power of an open mind and servant leadership.

If you’re the ideal candidate, you’ll:

Have earned a DVM or equivalent degree Be fulfilled by helping others Thrive in team-oriented environments (think hospital retreats, team dinners, happy hours and more!) Have a ‘glass half full’ attitude and a sense of humor! Live and breathe emergency medicine Be passionate about emergency surgery (the soft tissue kind!)

Benefits

Why you should choose us: Because emergency is all we do, so we do it best! We also offer:

Industry-leading compensation + signing bonus + monthly bonuses Health Insurance 401K w/ company match Unlimited CE Flexible work schedules for a true work-life balance (3 shifts a week is full-time for us!) Growth potential Fresh groceries sent weekly, monthly and quarterly contests, quarterly hospital outings, annual company-wide retreat, etc!
",Health Care,4.9,5/5/2020,6/7/2020,FULL_TIME
ABA Therapist,Kids Learning Loft Applied Behavior Analysis Services,NY,Williston Park,20000,35000,"Here at Kids Learning Loft Applied Behavior Analysis Services, PLLC, we are the rapidly expanding company in our industry in Williston Park, NY. We are hiring experienced part-time ABA Therapists to help us keep growing. If you're dedicated and ambitious, Kids Learning Loft is an excellent place to grow your career. We offer hands on training and a rigurous supervision program. Don't hesitate to apply.Responsibilities

Study patient behavior and apply ABA principles
Respond appropriately to different situations common among Autism patients and others with behavioral and developmental challenges
Utilize key communication skills to provide effective feedback to patients
Effectively communicate positive feedback to patients
Be able to recognize and respond to critical improvements in patient behaviors.
Become familiar with and use behavioral redirection techniques
Know how to respond to negative behaviors appropriately
Provide written documentation on each patients.

Qualifications

Preferred Master's degree in ABA, psychology, education, or related field of study
Preferred Registered Behavior Technician certificate from the Behavior Analyst Certification Board.
0-5 years of experience required for entry-level positions
Strong communication skills required
Ability to work under high-stress situations
Exhibits significant reliable habits, including timeliness and organizational skills
Proven experience working with pre-school and elementary school-aged children
Additional evidence of successful work with patients suffering from Autism and development issues
Other experience, certificates, or qualifications as required by state
",,,5/7/2020,6/7/2020,PART_TIME
Construction Project Manager,The LiRo Group,NY,Brooklyn,-1,-1,"Overview

Ranked among the nation's top 10 Construction Managers by Engineering News-Record, The LiRo Group provides integrated construction, design, and technology solutions for a broad range of public and private sector clients.

Our continued growth has created an immediate need for an experienced Construction Project Manager with strong electrical expertise from both a technical and strategic implementation perspective for a critical hospital electrical upgrade in Brooklyn, NY.

Responsibilities

Overall construction management team leadership, including effective coordination with hospital patient departments and facility groups

Direct communication with client, facility, stakeholders and user groups

Oversee and ensure quality and consistency of construction and all aspects of electrical improvements

Provide technical evaluations, advice and guidance

Coordination with adjacent projects impacted by the proposed work

Management of project administrative efforts, including progress reports, submittals, requisitions and change orders

Qualifications

Bachelor's Degree in Electrical Engineering or related discipline

Emergency Power Expereince a must

15+ years' experience in Project Management

Strong electrical knowledge, particularly for Type 1 EES Systems

Experience in an occupied hospital facility a necessity

Strong communication skills at multiple project levels ranging from tradespeople to facility executives

Ability to work under tight deadlines and handle multiple tasks

Please visit our website for all of our career opportunities at: https://careers-liro.icims.com

We offer a competitive salary commensurate with experience, a comprehensive benefits package and a positive work environment.

Equal Opportunity Employer

PI120130472","Construction, Repair & Maintenance",3.8,5/8/2020,6/7/2020,OTHER
Diesel Mechanic,Kingdom Associates,NY,Maspeth,46298,55893,"Excavation Contractor looking for a self starter - well organized -enthusiastic - great work ethic candidate to join our team. Organizing the upkeep and daily maintenance of current fleet of light and heavy duty trucks, and all heavy equipment machines onsite. General knowledge of Diesel and Hydraulic equipment.Main yard located in Maspeth with daily jobsite visits within the 5 boros.Job Type: Full-timeLicense:OSHA 30 (Preferred)Drivers (Preferred)Language:Spanish (Preferred)Work Location:One locationSkills:Diesel enginesMechanic experiencePay Frequency:WeeklyVehicle Type:Cars and light trucksHeavy equipmentHeavy trucksShop Type:IndependentTool Reimbursement:NoCertification Reimbursement:YesThis Company Describes Its Culture as:Stable -- traditional, stable, strong processesPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeThis Job Is:A job for which military experienced candidates are encouraged to applySchedule:Monday to FridayWeekends required10 hour shift","Construction, Repair & Maintenance",3.5,5/1/2020,6/7/2020,FULL_TIME
Plumber,Plumbing for life Inc.,NY,New York,-1,-1,"Established plumbing company looking for a Plumber mechanic with 5 to 10 years expirience in :working on cast iron, sprinklers,pvc pipes,boilers, water heaters. And plumber helper with 1-2 years expirience.",,,4/29/2020,6/7/2020,FULL_TIME
OT/ICS Systems Engineer,Forescout Technologies Inc.,NY,New York,122296,148734,"What We Are Doing:

Forescout Technologies is the leader in device visibility and control. Our unified security platform enables enterprises and government agencies to gain complete situational awareness of their extended enterprise environments and orchestrate actions to reduce cyber and operational risk. Our technology works with disparate security tools to help accelerate incident response, break down silos, automate workflows and optimize existing investments. We are a company filled with people who are cyber obsessed and passionate about our products. We are all about inclusion and diversity! We work as a team, and everyone matters! Join us as we secure the world with our products.

What you will do:

Are you a cybersecurity or IT pre-sales expert? The OT sales team is looking for an out-going and experienced pre-sales consultant with experience within cybersecurity, industrial control systems (ICS) and/or enterprise-grade IT project deployments. For this role, you would be working closely with customers and partners and must have knowledge of SCADA, DCS, MES and other control systems (ICS) technology. If you love problem-solving, finding efficient solutions for technical issues for geo-distributed customers and are comfortable working with a small dynamic team, then this job is for you!

What You Bring to Forescout:



10+ years of relevant work experience Support account managers to demonstrate the capabilities of our products to customers Ability to manage and drive complex solution integrations with industrial and enterprise customersStrong understanding of the Purdue Enterprise Reference Architecture within one or more Critical Infrastructure vertical businesses (i.e. Utility/energy, process automation, discrete automation, transportation, etc.) Strong knowledge of OT/ICS fieldStrong IT & Security skill-sets and knowledge including but not limited to:Risk Management (Operational & Cybersecurity)Secure Network ArchitectureCommon IT (i.e. DNS, HTTP, SMB, etc.) and OT protocols (Modbus, DNP3, BACnet etc.)Ability to read and write in a common scripting language such as Bash, PowerShell, Lua, etc.Willingness to travel, expected +50%Excellent written and verbal communications skillsAbility to articulate a message across ALL levels of an organizationCarry out Proof of Value (PoV) design, product delivery, and deployment schedulesPerform network assessments and network communication traffic analysisWork with customers on implementing and conducting detailed network analysisPlan and deliver technical product trainingLove of technology

Ability to manage and drive complex solution integrations with industrial and enterprise customers. Self-motivated with the ability to work unattended while meeting tight deadlines. Support account managers to demonstrate the capabilities of our products to customers

What Forescout Offers You:

Competitive compensation and benefits–we cover 95% of employee and dependents’ benefits premiums (the U.S. only), 401K match, generous PTO policy, and much moreCollaborative and innovative environment –make an impact on worldwide security while working on the hottest technologyLeadership that supports and encourages professional growth and developmentWant a glimpse of Life @ Forescout? Check us out on Facebook and InstagramLearn more @ www.forescout.com

#LI-SH2",Information Technology,3.4,4/28/2020,6/7/2020,FULL_TIME
Paid Search Director,National Debt Relief,NY,New York,91572,114484,"Who We're Looking For:

National Debt Relief is currently seeking a highly motivated, analytical, and passionate paid search marketing expert to help drive the company's rapid growth. This fast-paced role will be responsible for maintaining the company's leading digital marketing position while championing opportunities for improved performance and scale. This represents a unique opportunity to leverage the latest technologies, capabilities, and strategies within the search landscape to deliver unprecedented results. Based in our Downtown Manhattan headquarters and reporting directly to the company's Chief Marketing Officer, this highly-visible position will interact with and engage senior stakeholders throughout the company.

If you believe you are among the best-paid search marketers and prepared to roll-up-your-sleeves to achieve exceptional results, we want to hear from you.

Principal Duties and Responsibilities:

Serve as the company's SEM subject matter expert, managing day-to-day paid search marketing efforts across search engines via both manual and automated optimization.
Set clear KPIs and drive a team culture of accountability and rigor across digital programs.
Nimbly manage and measure performance across an evergreen portfolio of keyword targets, while conducting ongoing testing within accounts leveraging the latest features an/or technologies internal or external to each of the platforms.
Closely monitor the ever-changing competitive landscape and build scalable solutions to stay ahead of trends.
Work closely with stakeholders at Google and Bing, as well as the tight network of the company's solution partners to maximize performance across SEM efforts.
Work through automation, tagging, and data integrity issues with cross-functional stakeholders internal and external to the organization.
Be fiercely competitive and maintain a sense of urgency, creativity, and curiosity for how to continue to outperform the competition in SEM.
Serve as the company's primary point of contact for all issues and opportunities relating to paid search marketing.
Provide ongoing and ad hoc reporting and communication of results, tests, plans, budget, and initiatives to senior management.

Qualifications:

Bachelor's degree in Marketing or a related field required, MBA preferred.
5+ years of active/hands-on experience in paid search required, preferably within a performance marketing environment.
Experience managing large, dynamic search programs with significant monthly budgets.
Expert understanding of Google and Bing, the latest capabilities of each, and how to effectively deploy optimization strategies and resources that that maximize yield.
Experienced with performance marketing platforms, automated bidding tools, keyword research solutions and other analytics and testing solutions to include Google Adwords, Bing Ads, Adobe Analytics, Google Analytics, Salesforce-related solutions, and Marin among others.
Exceptional analytical and problem-solving skills with previous experience structuring and performing complex testing and analysis within paid search in order to drive efficient growth and effective results.
Powerful communicator with the ability to engage and influence senior leadership.
Proficiency with Microsoft Office (Excel, Word, PowerPoint).
Strong organizational skills and attention to detail.
Excellent time management skills, with the ability to prioritize, multi-task, and work under shifting deadlines in a fast-paced environment.

What We Offer:

A team-first, work hard play hard culture, full of rewards and recognition for our employees. We are dedicated to our employees' success and growth.

Our extensive benefits package includes:


Generous Medical, Dental, and Vision Benefits
401(k) with Company Match
Paid Holidays, Volunteer Time Off, Sick Days, and Vacation
10 weeks Paid Parental Leave
Pre-tax Transit Benefits
Discounted Gym Membership
Citi Bike Annual Membership Discounts
No-Cost Life Insurance Benefits
Voluntary Benefits Options
ASPCA Pet Health Insurance Discount

About National Debt Relief:

National Debt Relief is one of the country's largest and most reputable debt settlement companies. We are made up of energetic, smart, and compassionate individuals who are passionate about helping thousands of Americans with debt relief. Most importantly, we're all about helping our customers through a tough financial time in their lives with education and individual customer service.

We are dedicated to helping individuals and families rid their lives of burdensome debt. We specialize in debt settlement and have negotiated settlements for thousands of creditor and collections accounts. We provide our clients with both our expertise and our proven results. This means helping consumers in their time of hardship to get out of debt with the least possible cost. It can also mean conducting financial consultations, educating the consumer, and recommending the appropriate solution. Our core services offer debt settlement as an alternative to bankruptcy, credit counseling, and debt consolidation. We become our clients' number one advocate to help them reestablish financial stability as quickly as possible.

National Debt Relief is a certified Great Place to Work®!

National Debt Relief is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability status, or any other status protected by law

#ZR",Finance,4,4/25/2020,6/7/2020,FULL_TIME
